version,sha256,path,os_name,os_arch
3.7.0,d1ae3b685c9b72d87c83cbf8edd6ba8a44b88bbba9b9cecb8aa79df6ee39727c,pythons/3.7.0/ubuntu-22-04-x86_64-d1ae3b685c9b72d87c83cbf8edd6ba8a44b88bbba9b9cecb8aa79df6ee39727c.tar,ubuntu 22.04,x86_64
3.7.0,9f759f1995a62136f4e551841fd9ae880a14515e1c6a74ba22ff44edffe71963,pythons/3.7.0/ubuntu-24-04-x86_64-9f759f1995a62136f4e551841fd9ae880a14515e1c6a74ba22ff44edffe71963.tar,ubuntu 24.04,x86_64
3.7.1,9bff0ec0fa85362326952a769b336c51080cdff82acbb772429fe4e485be359c,pythons/3.7.1/ubuntu-22-04-x86_64-9bff0ec0fa85362326952a769b336c51080cdff82acbb772429fe4e485be359c.tar,ubuntu 22.04,x86_64
3.7.1,01c19295b9c2d4186785e622c81b21b299b4f3f2c57d2d0aceb9fec419eda000,pythons/3.7.1/ubuntu-24-04-x86_64-01c19295b9c2d4186785e622c81b21b299b4f3f2c57d2d0aceb9fec419eda000.tar,ubuntu 24.04,x86_64
3.7.4,d564f30b1be58a2ae68fe78fa4abefb09383c6f6ede99600da4a2273a7471647,pythons/3.7.4/ubuntu-22-04-x86_64-d564f30b1be58a2ae68fe78fa4abefb09383c6f6ede99600da4a2273a7471647.tar,ubuntu 22.04,x86_64
3.7.4,08d4b9c25225b3f99d354946660fcb30a495f7a478ffab9a8fdc50bcf8259235,pythons/3.7.4/ubuntu-24-04-x86_64-08d4b9c25225b3f99d354946660fcb30a495f7a478ffab9a8fdc50bcf8259235.tar,ubuntu 24.04,x86_64
3.7.5,727fdf93d591d0b2078871c0d08f181a306a55922bd387ba9ea2d12d5a61c40c,pythons/3.7.5/ubuntu-22-04-x86_64-727fdf93d591d0b2078871c0d08f181a306a55922bd387ba9ea2d12d5a61c40c.tar,ubuntu 22.04,x86_64
3.7.5,b51dabbdd022b29cd635f0544f2664c8883f625e6c54a98a3482c367e9efd325,pythons/3.7.5/ubuntu-24-04-x86_64-b51dabbdd022b29cd635f0544f2664c8883f625e6c54a98a3482c367e9efd325.tar,ubuntu 24.04,x86_64
3.7.6,84b9f8a28273b45df2f6615c8845de91a5845832a24fb264cd10dd580424f9ff,pythons/3.7.6/ubuntu-22-04-x86_64-84b9f8a28273b45df2f6615c8845de91a5845832a24fb264cd10dd580424f9ff.tar,ubuntu 22.04,x86_64
3.7.6,478d312a93aceec6975b2dbca6c1d4b7434ebcb51673798682173cb75eafe915,pythons/3.7.6/ubuntu-24-04-x86_64-478d312a93aceec6975b2dbca6c1d4b7434ebcb51673798682173cb75eafe915.tar,ubuntu 24.04,x86_64
3.7.7,297a24331bfcf3a19b53f0fd46bc16496510a7ed569f3650aaca7958bd77da6f,pythons/3.7.7/ubuntu-22-04-x86_64-297a24331bfcf3a19b53f0fd46bc16496510a7ed569f3650aaca7958bd77da6f.tar,ubuntu 22.04,x86_64
3.7.7,e8fa1e5f63072282c066c188916764d5faafc3312b1b5813e31a584c2f62fe5e,pythons/3.7.7/ubuntu-24-04-x86_64-e8fa1e5f63072282c066c188916764d5faafc3312b1b5813e31a584c2f62fe5e.tar,ubuntu 24.04,x86_64
3.7.8,517810941f9063935523ff6d8bf5082ab9bd1ab079d2d5bd4ad740a6aa7d5f51,pythons/3.7.8/ubuntu-22-04-x86_64-517810941f9063935523ff6d8bf5082ab9bd1ab079d2d5bd4ad740a6aa7d5f51.tar,ubuntu 22.04,x86_64
3.7.8,5757e3a6635f2fae4be4819ec81ae426979dd428b24ae47f9857478afc26c677,pythons/3.7.8/ubuntu-24-04-x86_64-5757e3a6635f2fae4be4819ec81ae426979dd428b24ae47f9857478afc26c677.tar,ubuntu 24.04,x86_64
3.7.9,40fdb3812ed4beca848ead57ff0dbfb736657517fb539505abf79df49724abf5,pythons/3.7.9/ubuntu-22-04-x86_64-40fdb3812ed4beca848ead57ff0dbfb736657517fb539505abf79df49724abf5.tar,ubuntu 22.04,x86_64
3.7.9,cdddcfca9588211794b79961cf2b7d1421f4cd7c447ed3eb808778bf535ee7d3,pythons/3.7.9/ubuntu-24-04-x86_64-cdddcfca9588211794b79961cf2b7d1421f4cd7c447ed3eb808778bf535ee7d3.tar,ubuntu 24.04,x86_64
3.7.10,aa3c5aa6f6127eeb49014e7daeb0dd11d517283ac55cc3bda3011803fe2e6d53,pythons/3.7.10/ubuntu-22-04-x86_64-aa3c5aa6f6127eeb49014e7daeb0dd11d517283ac55cc3bda3011803fe2e6d53.tar,ubuntu 22.04,x86_64
3.7.10,926b6f87b9fe37f8736c3d0466e457f2ebdc9862a90bc93cd314fc4c9871dede,pythons/3.7.10/ubuntu-24-04-x86_64-926b6f87b9fe37f8736c3d0466e457f2ebdc9862a90bc93cd314fc4c9871dede.tar,ubuntu 24.04,x86_64
3.7.11,d232b21cac6402ff72b712a6d9b02416fa451cfe1c350abb220becdbccf747ea,pythons/3.7.11/ubuntu-22-04-x86_64-d232b21cac6402ff72b712a6d9b02416fa451cfe1c350abb220becdbccf747ea.tar,ubuntu 22.04,x86_64
3.7.11,8ab6b705e29ce7eee1d52246a958d4c7200e7bd020d1c8a5e09418a8627ad39a,pythons/3.7.11/ubuntu-24-04-x86_64-8ab6b705e29ce7eee1d52246a958d4c7200e7bd020d1c8a5e09418a8627ad39a.tar,ubuntu 24.04,x86_64
3.7.12,bd3bb84c847c10616df074a71b3050a379396c8734911670a56020f8f341fac5,pythons/3.7.12/ubuntu-22-04-x86_64-bd3bb84c847c10616df074a71b3050a379396c8734911670a56020f8f341fac5.tar,ubuntu 22.04,x86_64
3.7.12,e6d3d15de892047e84f10b9a5af738018cf14198a7afad7b094ff26b847d9dd8,pythons/3.7.12/ubuntu-24-04-x86_64-e6d3d15de892047e84f10b9a5af738018cf14198a7afad7b094ff26b847d9dd8.tar,ubuntu 24.04,x86_64
3.7.13,290e19fb1332a06355112fc2b1323343a25380a6bc7aa806d36bb00e2f6867ef,pythons/3.7.13/ubuntu-22-04-x86_64-290e19fb1332a06355112fc2b1323343a25380a6bc7aa806d36bb00e2f6867ef.tar,ubuntu 22.04,x86_64
3.7.13,7addbebb0f0083144c99576dff79e90035ed16400e017cde54e675b5beceaad0,pythons/3.7.13/ubuntu-24-04-x86_64-7addbebb0f0083144c99576dff79e90035ed16400e017cde54e675b5beceaad0.tar,ubuntu 24.04,x86_64
3.7.14,3e2ed6dd155661699202951e26e96118f26654e0817cbc64683ac1fb909075c3,pythons/3.7.14/ubuntu-22-04-x86_64-3e2ed6dd155661699202951e26e96118f26654e0817cbc64683ac1fb909075c3.tar,ubuntu 22.04,x86_64
3.7.14,d8c7a737a346f6d28e22137f51f82de160c320f8b45c87f83112d7a49ab8788b,pythons/3.7.14/ubuntu-24-04-x86_64-d8c7a737a346f6d28e22137f51f82de160c320f8b45c87f83112d7a49ab8788b.tar,ubuntu 24.04,x86_64
3.7.15,2ce7c61e0c1cebe991b676121943c901fa7f452c32d64d15f46fe08ad8df3bab,pythons/3.7.15/ubuntu-22-04-x86_64-2ce7c61e0c1cebe991b676121943c901fa7f452c32d64d15f46fe08ad8df3bab.tar,ubuntu 22.04,x86_64
3.7.15,9865d23a1661e701bd3108e4e390867a02204e815f654fcd0c2bd0ac527283e5,pythons/3.7.15/ubuntu-24-04-x86_64-9865d23a1661e701bd3108e4e390867a02204e815f654fcd0c2bd0ac527283e5.tar,ubuntu 24.04,x86_64
3.7.16,ee5baffc1bf934c11e9879d71291d4acb36fcb579162551f1be3ea907383d832,pythons/3.7.16/ubuntu-22-04-x86_64-ee5baffc1bf934c11e9879d71291d4acb36fcb579162551f1be3ea907383d832.tar,ubuntu 22.04,x86_64
3.7.16,f078deaac89d80a3b4ffa3e52524d01aa11460420cf8d4209c86b580ce47be39,pythons/3.7.16/ubuntu-24-04-x86_64-f078deaac89d80a3b4ffa3e52524d01aa11460420cf8d4209c86b580ce47be39.tar,ubuntu 24.04,x86_64
3.7.17,fed6c219932a9e57e45cfe49e33f316bc59b38d3c2fa541859c042b5cabeecba,pythons/3.7.17/ubuntu-22-04-x86_64-fed6c219932a9e57e45cfe49e33f316bc59b38d3c2fa541859c042b5cabeecba.tar,ubuntu 22.04,x86_64
3.7.17,5e5b5accf67cacb763164ceb2d2322fc4e9d3891b52535de937b4fb57acc9bf5,pythons/3.7.17/ubuntu-24-04-x86_64-5e5b5accf67cacb763164ceb2d2322fc4e9d3891b52535de937b4fb57acc9bf5.tar,ubuntu 24.04,x86_64
3.8.0,b5be43ae30dba37fbe096d9c446ecc4a2398f9be386a33ed1776820c3936f4d4,pythons/3.8.0/ubuntu-22-04-x86_64-b5be43ae30dba37fbe096d9c446ecc4a2398f9be386a33ed1776820c3936f4d4.tar,ubuntu 22.04,x86_64
3.8.0,cb4254f8ebf228a113ffac09519c62d93834f95214c5c9b6ea9d467a6c047e17,pythons/3.8.0/ubuntu-24-04-x86_64-cb4254f8ebf228a113ffac09519c62d93834f95214c5c9b6ea9d467a6c047e17.tar,ubuntu 24.04,x86_64
3.8.1,bed63b0ea340ea3473dc0732653844ae623ea2a14a8e15808ed96f6294f0f1f4,pythons/3.8.1/ubuntu-22-04-x86_64-bed63b0ea340ea3473dc0732653844ae623ea2a14a8e15808ed96f6294f0f1f4.tar,ubuntu 22.04,x86_64
3.8.1,17405691062616363e892937e6ea52f2db4d17633bfd93bd0e08f29a5052979a,pythons/3.8.1/ubuntu-24-04-x86_64-17405691062616363e892937e6ea52f2db4d17633bfd93bd0e08f29a5052979a.tar,ubuntu 24.04,x86_64
3.8.2,aa6cfb43213cf0a82741c651e0e676a1a9982ceaf9ec8fa369dab0be85250c5c,pythons/3.8.2/ubuntu-22-04-x86_64-aa6cfb43213cf0a82741c651e0e676a1a9982ceaf9ec8fa369dab0be85250c5c.tar,ubuntu 22.04,x86_64
3.8.2,4ff01b08b9a46de3e276e0ef39a1528a2f5698ce9db2aa8f039602f896c0f53a,pythons/3.8.2/ubuntu-24-04-x86_64-4ff01b08b9a46de3e276e0ef39a1528a2f5698ce9db2aa8f039602f896c0f53a.tar,ubuntu 24.04,x86_64
3.8.3,909271d093286f0c35cb3f711017c337db26f13eb6d25647960166756177370c,pythons/3.8.3/ubuntu-22-04-x86_64-909271d093286f0c35cb3f711017c337db26f13eb6d25647960166756177370c.tar,ubuntu 22.04,x86_64
3.8.3,ed97b6f8fc33bd20a4a0a1c04c7e3a182089da846dee7d0d79341b7f64bab5d9,pythons/3.8.3/ubuntu-24-04-x86_64-ed97b6f8fc33bd20a4a0a1c04c7e3a182089da846dee7d0d79341b7f64bab5d9.tar,ubuntu 24.04,x86_64
3.8.4,85c39ae143c0befccbc9f237e98ca9cf2e588463a7559b641052ad54095f76c0,pythons/3.8.4/ubuntu-22-04-x86_64-85c39ae143c0befccbc9f237e98ca9cf2e588463a7559b641052ad54095f76c0.tar,ubuntu 22.04,x86_64
3.8.4,7e9a2fd2fee9538f3df071c2ba35ded816c2cf13b538e57fbb484152e0aaff20,pythons/3.8.4/ubuntu-24-04-x86_64-7e9a2fd2fee9538f3df071c2ba35ded816c2cf13b538e57fbb484152e0aaff20.tar,ubuntu 24.04,x86_64
3.8.5,687bd989d5430f3afa33c568de93ee014e4d78181e93ab73b5b8986e99bbd387,pythons/3.8.5/ubuntu-22-04-x86_64-687bd989d5430f3afa33c568de93ee014e4d78181e93ab73b5b8986e99bbd387.tar,ubuntu 22.04,x86_64
3.8.5,f1d9c0f34df894b6296b406021b8682123789e018e23b608c406508ebba1ce58,pythons/3.8.5/ubuntu-24-04-x86_64-f1d9c0f34df894b6296b406021b8682123789e018e23b608c406508ebba1ce58.tar,ubuntu 24.04,x86_64
3.8.6,dd3ff5a79bfdbe641a9a0285e3aa0e8252aa8651ed3754aa53fadd6bfd6360f8,pythons/3.8.6/ubuntu-22-04-x86_64-dd3ff5a79bfdbe641a9a0285e3aa0e8252aa8651ed3754aa53fadd6bfd6360f8.tar,ubuntu 22.04,x86_64
3.8.6,fa20255cb1abdbb257d8facebdb68df20e5070f8c995f686d4b3cba5eae443d7,pythons/3.8.6/ubuntu-24-04-x86_64-fa20255cb1abdbb257d8facebdb68df20e5070f8c995f686d4b3cba5eae443d7.tar,ubuntu 24.04,x86_64
3.8.7,da4521817621a135d2c66fb0361e2fd651433883868b7ddd9aec8fa622233f4a,pythons/3.8.7/ubuntu-22-04-x86_64-da4521817621a135d2c66fb0361e2fd651433883868b7ddd9aec8fa622233f4a.tar,ubuntu 22.04,x86_64
3.8.7,09fa97445526980d920c5eadcb4edc8336452eb497c80594b9c6cb34e124afd8,pythons/3.8.7/ubuntu-24-04-x86_64-09fa97445526980d920c5eadcb4edc8336452eb497c80594b9c6cb34e124afd8.tar,ubuntu 24.04,x86_64
3.8.8,2a8210914311c80f3aa7c8c370b2dd9f916d4591418dce6f18b92b80052cede0,pythons/3.8.8/ubuntu-22-04-x86_64-2a8210914311c80f3aa7c8c370b2dd9f916d4591418dce6f18b92b80052cede0.tar,ubuntu 22.04,x86_64
3.8.8,e0f8331aca5511c78b88498fe1d77025b2d678695366d92c0df15c6ef38ad42e,pythons/3.8.8/ubuntu-24-04-x86_64-e0f8331aca5511c78b88498fe1d77025b2d678695366d92c0df15c6ef38ad42e.tar,ubuntu 24.04,x86_64
3.8.9,b22bb3ef56fb690fa74e19419896801e04912bb2e435453e9ee26ae4eda689a2,pythons/3.8.9/ubuntu-22-04-x86_64-b22bb3ef56fb690fa74e19419896801e04912bb2e435453e9ee26ae4eda689a2.tar,ubuntu 22.04,x86_64
3.8.9,19259fb33a71a0f6b72e2515d776b34e2df214a87cffe30de42a2d90e626c35e,pythons/3.8.9/ubuntu-24-04-x86_64-19259fb33a71a0f6b72e2515d776b34e2df214a87cffe30de42a2d90e626c35e.tar,ubuntu 24.04,x86_64
3.8.10,ee7a1a7035cff72830cb193c7512eefaee227f318b7ffb132e29958f799f5917,pythons/3.8.10/ubuntu-22-04-x86_64-ee7a1a7035cff72830cb193c7512eefaee227f318b7ffb132e29958f799f5917.tar,ubuntu 22.04,x86_64
3.8.10,0469485fec56300a7a442bc9528f61450893f6644220d0832cd8cebf87fc574b,pythons/3.8.10/ubuntu-24-04-x86_64-0469485fec56300a7a442bc9528f61450893f6644220d0832cd8cebf87fc574b.tar,ubuntu 24.04,x86_64
3.8.11,6a3fc26e6b7eb9fdad029690047dea492f2cfe481d839328aa8a7d0462dd4345,pythons/3.8.11/ubuntu-22-04-x86_64-6a3fc26e6b7eb9fdad029690047dea492f2cfe481d839328aa8a7d0462dd4345.tar,ubuntu 22.04,x86_64
3.8.11,07130588a476c49432443183cb79fa85ead0431db8fcd3d5882ba8141a16a172,pythons/3.8.11/ubuntu-24-04-x86_64-07130588a476c49432443183cb79fa85ead0431db8fcd3d5882ba8141a16a172.tar,ubuntu 24.04,x86_64
3.8.12,606851659cd5bcee80c71a02cc10f0f861a05d924b672197fd5672c780316d8c,pythons/3.8.12/ubuntu-22-04-x86_64-606851659cd5bcee80c71a02cc10f0f861a05d924b672197fd5672c780316d8c.tar,ubuntu 22.04,x86_64
3.8.12,d534c098d773f5d558a4935fb82f83c831adafc7f59227eae0cf293148f5c261,pythons/3.8.12/ubuntu-24-04-x86_64-d534c098d773f5d558a4935fb82f83c831adafc7f59227eae0cf293148f5c261.tar,ubuntu 24.04,x86_64
3.8.13,0f5b9833d6b9c9c58fd84cf7c0f817b9dbd62d3de3f369bcd89a5c943b7a6313,pythons/3.8.13/ubuntu-22-04-x86_64-0f5b9833d6b9c9c58fd84cf7c0f817b9dbd62d3de3f369bcd89a5c943b7a6313.tar,ubuntu 22.04,x86_64
3.8.13,06055acb0691f631e147fa0fb8e848f141d3a20184b250be410b6d2f2ab08262,pythons/3.8.13/ubuntu-24-04-x86_64-06055acb0691f631e147fa0fb8e848f141d3a20184b250be410b6d2f2ab08262.tar,ubuntu 24.04,x86_64
3.8.14,6f1b0346e404543256d11c9f097eebd8df9141281a9e718d193d63fdf44c9f25,pythons/3.8.14/ubuntu-22-04-x86_64-6f1b0346e404543256d11c9f097eebd8df9141281a9e718d193d63fdf44c9f25.tar,ubuntu 22.04,x86_64
3.8.14,407a339495296494d6ebc1b1e1b0aa43495f070e3c57f4a3071a86beac1e40e2,pythons/3.8.14/ubuntu-24-04-x86_64-407a339495296494d6ebc1b1e1b0aa43495f070e3c57f4a3071a86beac1e40e2.tar,ubuntu 24.04,x86_64
3.8.15,a36b62fe047484f2b52d1ea18d0b6ace01541d089ee6e060439d950187ec06d1,pythons/3.8.15/ubuntu-22-04-x86_64-a36b62fe047484f2b52d1ea18d0b6ace01541d089ee6e060439d950187ec06d1.tar,ubuntu 22.04,x86_64
3.8.15,641b45507dcaba87e50f502128b03c95b0c826dcb2f7aaa925cdbd54eb1e4605,pythons/3.8.15/ubuntu-24-04-x86_64-641b45507dcaba87e50f502128b03c95b0c826dcb2f7aaa925cdbd54eb1e4605.tar,ubuntu 24.04,x86_64
3.8.16,1ac69a2dce048c886cd10968423e0d6d29011cedab472f5292e4953625c1b49d,pythons/3.8.16/ubuntu-22-04-x86_64-1ac69a2dce048c886cd10968423e0d6d29011cedab472f5292e4953625c1b49d.tar,ubuntu 22.04,x86_64
3.8.16,e9d7426d6591637a19a843fd7ce0b0eeccbf0064823e1f5c9f4b9d63da71a4d4,pythons/3.8.16/ubuntu-24-04-x86_64-e9d7426d6591637a19a843fd7ce0b0eeccbf0064823e1f5c9f4b9d63da71a4d4.tar,ubuntu 24.04,x86_64
3.8.17,18a86c4e859ae67152c405cb5528ee800d47c50cf88aa85b53196d1db552bc43,pythons/3.8.17/ubuntu-22-04-x86_64-18a86c4e859ae67152c405cb5528ee800d47c50cf88aa85b53196d1db552bc43.tar,ubuntu 22.04,x86_64
3.8.17,d23a320d0952a82d8c179f07c7132d1cf1a3228d6e92467d54c6479fe71e905f,pythons/3.8.17/ubuntu-24-04-x86_64-d23a320d0952a82d8c179f07c7132d1cf1a3228d6e92467d54c6479fe71e905f.tar,ubuntu 24.04,x86_64
3.8.18,36d264413122f6c4ec26233118c6bb7c6373b9f8ab4399699ec33a623bdff7c0,pythons/3.8.18/ubuntu-22-04-x86_64-36d264413122f6c4ec26233118c6bb7c6373b9f8ab4399699ec33a623bdff7c0.tar,ubuntu 22.04,x86_64
3.8.18,5fd995072f00aefc9a11039077b4714ae974bb84d6adf0a46545c267172ab888,pythons/3.8.18/ubuntu-24-04-x86_64-5fd995072f00aefc9a11039077b4714ae974bb84d6adf0a46545c267172ab888.tar,ubuntu 24.04,x86_64
3.8.19,0e6df4347e9c2eb2fbf518c02422aad66a39fed4bfc6dc9c1a457a4bdd9858a1,pythons/3.8.19/ubuntu-22-04-x86_64-0e6df4347e9c2eb2fbf518c02422aad66a39fed4bfc6dc9c1a457a4bdd9858a1.tar,ubuntu 22.04,x86_64
3.8.19,2af9ca7a61e1630bd813f9f1574097af17ac377f20322f409411a095647cc1e0,pythons/3.8.19/ubuntu-24-04-x86_64-2af9ca7a61e1630bd813f9f1574097af17ac377f20322f409411a095647cc1e0.tar,ubuntu 24.04,x86_64
3.8.20,1d1b45807defb006146b4611736ca204b832c5b02fb05a9958ea3046f3d428c1,pythons/3.8.20/ubuntu-22-04-x86_64-1d1b45807defb006146b4611736ca204b832c5b02fb05a9958ea3046f3d428c1.tar,ubuntu 22.04,x86_64
3.8.20,67b28912a18ef0defb80d3baafe3824ff009f00c3c82b5f10cd4f568cda528e1,pythons/3.8.20/ubuntu-24-04-x86_64-67b28912a18ef0defb80d3baafe3824ff009f00c3c82b5f10cd4f568cda528e1.tar,ubuntu 24.04,x86_64
